dataset,file,split,horizon_ratio,tilt_deg,bbox_mean_cy,interpretation
pothole,images218_jpg.rf.8d9490ab88a15fc968ee7180be708fad.jpg,train,0.753,40.8,0.908,고각도(내려다봄)
pothole,youtube-29_jpg.rf.5ee0cb46891f134c709a87f7a980b05f.jpg,train,0.855,50.0,0.661,고각도(내려다봄)
pothole,images180_jpg.rf.347aa51b48161835368a52cee004cdbf.jpg,train,0.712,37.1,0.491,눈높이(정면)
pothole,images207_jpg.rf.0423ae371f2bcec1b7a93227573adede.jpg,train,0.588,25.9,0.706,고각도(내려다봄)
pothole,youtube-31_jpg.rf.aa696c70910ba666add85cc96ac306eb.jpg,train,0.719,37.7,0.364,눈높이(정면)
pothole,images212_jpg.rf.d760d11136232af982a93fb9ab855e8c.jpg,train,0.523,20.1,1.0,고각도(내려다봄)
pothole,images191_jpg.rf.1e2a466c56759bcf7c338a0fd22a420f.jpg,train,0.513,19.2,0.678,고각도(내려다봄)
pothole,youtube-25_jpg.rf.40691f41bde7713f07b9b9b9fc6b6588.jpg,train,0.246,-4.9,0.76,고각도(내려다봄)
pothole,images220_jpg.rf.ca7f85590d77999ae89e132dd7ac5cd4.jpg,train,0.312,1.1,0.497,눈높이(정면)
pothole,youtube-31_jpg.rf.4e376b6363aad0fd030e1b6f4ae7d933.jpg,train,0.731,38.8,0.584,고각도(내려다봄)
pothole,images191_jpg.rf.9689210412ca74774b007345e51f8f8c.jpg,train,0.48,16.2,0.692,고각도(내려다봄)
pothole,images218_jpg.rf.6ff8afad8c5a31da41b0cfc1cbb56662.jpg,train,0.777,42.9,0.843,고각도(내려다봄)
pothole,youtube-31_jpg.rf.47bf3ba4a5891aea0d4599bd179d3471.jpg,train,0.681,34.3,0.645,고각도(내려다봄)
pothole,youtube-25_jpg.rf.5862ce10c9bc74f92f7401b560278d71.jpg,train,0.754,40.9,0.985,고각도(내려다봄)
pothole,images199_jpg.rf.6c9bb75b1bcabbba963ae66229cf5c7c.jpg,train,0.666,32.9,0.597,고각도(내려다봄)
pothole,youtube-29_jpg.rf.c63e43a36772ed29efd19991f36f73d6.jpg,train,0.42,10.8,0.0,눈높이(정면)
pothole,youtube-29_jpg.rf.857fa4647553ad725d300a3a6d6e912a.jpg,train,0.493,17.4,0.681,고각도(내려다봄)
pothole,youtube-28_jpg.rf.b863860f2b53b2f59c0831f9b576f990.jpg,train,0.403,9.3,0.755,고각도(내려다봄)
pothole,images218_jpg.rf.2a27d16a5abd90a428614334de049acb.jpg,train,0.766,42.0,0.892,고각도(내려다봄)
pothole,youtube-30_jpg.rf.5772712ed2b3d63f39e06d65da6f0b1b.jpg,train,0.413,10.2,0.614,고각도(내려다봄)
