epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3196,1.88995,3.59073,1.84066,0.61083,0.43389,0.52205,0.2267,2.08662,3.2923,2.16959,0.000182759,0.000182759,0.000182759
2,127.898,1.83606,2.2961,1.79395,0.44176,0.5984,0.50895,0.218,2.16366,4.56798,2.3476,0.000364448,0.000364448,0.000364448
3,169.987,1.81319,2.26343,1.77234,0.42458,0.49308,0.48266,0.24441,2.2122,3.01032,2.35218,0.000542468,0.000542468,0.000542468
4,212.16,1.8217,2.0385,1.79927,0.37373,0.4986,0.47441,0.23441,2.23703,2.79283,2.30175,0.000539487,0.000539487,0.000539487
5,253.512,1.80311,1.99616,1.80035,0.60756,0.47869,0.56717,0.28109,2.07871,2.55572,2.13544,0.000533982,0.000533982,0.000533982
6,295.255,1.76779,1.87074,1.77696,0.67386,0.48351,0.60078,0.30187,2.16749,2.37125,2.22381,0.000528478,0.000528478,0.000528478
7,337.367,1.74873,1.73425,1.74423,0.53182,0.71043,0.68252,0.37139,1.97905,2.6596,2.01745,0.000522974,0.000522974,0.000522974
8,379.493,1.68579,1.64136,1.70286,0.60573,0.69318,0.71142,0.37812,2.01336,2.15298,2.07905,0.000517469,0.000517469,0.000517469
9,420.97,1.67418,1.57711,1.7047,0.62512,0.68692,0.68574,0.38385,1.9691,2.01626,1.98769,0.000511965,0.000511965,0.000511965
10,462.626,1.62452,1.54503,1.66223,0.745,0.70212,0.7045,0.36031,2.04588,2.07149,2.11327,0.00050646,0.00050646,0.00050646
11,504.216,1.58737,1.47434,1.63559,0.69823,0.64239,0.6913,0.37372,1.93436,2.05074,2.02403,0.000500956,0.000500956,0.000500956
12,546.741,1.57597,1.39538,1.62732,0.67476,0.74735,0.7424,0.40793,1.91328,1.76024,1.96814,0.000495452,0.000495452,0.000495452
13,590.216,1.57253,1.38952,1.6384,0.66229,0.68387,0.67885,0.34699,2.10101,1.99486,2.10651,0.000489947,0.000489947,0.000489947
14,632.481,1.53306,1.32819,1.61277,0.73879,0.77481,0.79995,0.43327,2.00714,1.68524,2.01844,0.000484443,0.000484443,0.000484443
15,675.828,1.54424,1.31755,1.60291,0.67532,0.63319,0.6957,0.30702,2.11543,1.83841,2.13977,0.000478938,0.000478938,0.000478938
16,718.233,1.51618,1.26516,1.5958,0.73532,0.76283,0.78532,0.42363,1.96843,1.58844,2.02605,0.000473434,0.000473434,0.000473434
17,759.784,1.5031,1.25285,1.59967,0.78087,0.73707,0.79142,0.42019,1.93129,1.58731,1.98916,0.00046793,0.00046793,0.00046793
18,801.551,1.47966,1.23136,1.55849,0.82416,0.75424,0.80337,0.4369,1.92722,1.47717,1.95386,0.000462425,0.000462425,0.000462425
19,844.415,1.44019,1.20547,1.54582,0.72255,0.74518,0.75507,0.39415,1.91673,1.53549,2.00945,0.000456921,0.000456921,0.000456921
20,886.726,1.4379,1.1498,1.54392,0.85046,0.73269,0.79301,0.43973,1.91751,1.50895,1.98172,0.000451416,0.000451416,0.000451416
21,929.173,1.44963,1.16874,1.54911,0.64147,0.7601,0.74559,0.41609,1.85296,1.71098,1.94529,0.000445912,0.000445912,0.000445912
22,970.929,1.42722,1.13431,1.52624,0.80939,0.75348,0.81725,0.47183,1.83786,1.4462,1.90909,0.000440408,0.000440408,0.000440408
23,1013.8,1.39406,1.08169,1.50868,0.79092,0.7739,0.8051,0.47024,1.86394,1.54068,1.91369,0.000434903,0.000434903,0.000434903
24,1055.76,1.38047,1.05207,1.49914,0.70973,0.73429,0.74358,0.44067,1.869,1.51171,1.93021,0.000429399,0.000429399,0.000429399
25,1097.58,1.38331,1.03902,1.49426,0.82912,0.70789,0.79243,0.45432,1.81208,1.48207,1.89849,0.000423894,0.000423894,0.000423894
